Class_code,Species,Type_of_cost_merged,pred_cost_mean
Mammal,Herpestes javanicus,Damage,0.138454049
Mammal,Herpestes javanicus,Damage,0.138454049
terrinv,Hyblaea puera,Management,0.440989738
terrinv,Hypera postica,Management,8178.488545
terrinv,Hyphantria cunea,Mixed,20.42722447
terrinv,Hypothenemus hampei,Damage,24.610636
terrinv,Leptinotarsa decemlineata,Damage,20.80918065
terrinv,Leptinotarsa decemlineata,Management,16.86042478
terrinv,Leptinotarsa decemlineata,Management,4.095223345
terrinv,Leptinotarsa decemlineata,Management,4.095223345
terrinv,Leptinotarsa decemlineata,Management,7.635657331
Freshwater,Limnoperna fortunei,Management,13.15275998
Freshwater,Limnoperna fortunei,Management,23.60687574
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.4973076
terrinv,Linepithema humile,Management,0.647934557
terrinv,Linepithema humile,Management,0.647934557
terrinv,Linepithema humile,Management,0.647934557
terrinv,Linepithema humile,Management,0.647934557
terrinv,Liriomyza huidobrensis,Management,30.41703324
terrinv,Liriomyza sativae,Damage,889.3492993
terrinv,Lissachatina fulica,Management,30.8727442
terrinv,Listronotus bonariensis,Damage,587.019546
terrinv,Listronotus bonariensis,Damage,587.019546
terrinv,Listronotus bonariensis,Damage,69.41968672
Amphibian,Lithobates catesbeianus,Management,0.146854034
terrinv,Lymantria dispar,Management,98.17828833
terrinv,Lymantria dispar,Management,98.17828833
terrinv,Lymantria dispar,Management,98.17828833
terrinv,Lymantria dispar,Management,98.17828833
terrinv,Lymantria dispar,Management,98.17828833
terrinv,Lymantria dispar,Damage,3998.390674
terrinv,Lymantria dispar,Damage,4691.130804
terrinv,Lymantria dispar,Damage,729.7076855
terrinv,Lymantria dispar,Management,19.37267252
terrinv,Maconellicoccus hirsutus,Management,0.103248954
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Muntiacus reevesi,Damage,0.08837695
Mammal,Mus musculus,Damage,39.21868689
Mammal,Mustela erminea,Management,5.531955069
Bird,Myiopsitta monachus,Management,1.452060361
Bird,Myiopsitta monachus,Management,2.872777733
Mammal,Myocastor coypus,Damage,2.604340884
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,2.691408754
Mammal,Myocastor coypus,Damage,0.566991037
Mammal,Myocastor coypus,Management,6.400982019
Mammal,Myocastor coypus,Damage,27.59248511
Mammal,Neovison vison,Management,10.561173
Mammal,Neovison vison,Management,7.510231431
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,8.387373955
Mammal,Neovison vison,Management,6.383613922
Mammal,Neovison vison,Management,6.383613922
Mammal,Neovison vison,Management,4.651559361
Mammal,Neovison vison,Management,4.651559361
Mammal,Neovison vison,Management,9.637064849
Mammal,Neovison vison,Management,1.319279477
Mammal,Neovison vison,Damage,10.34582436
Mammal,Neovison vison,Damage,10.34582436
terrinv,Nilaparvata lugens,Damage,597.2739003
Mammal,Nyctereutes procyonoides,Management,0.819643181
Mammal,Nyctereutes procyonoides,Management,0.866832016
Mammal,Nyctereutes procyonoides,Management,0.866832016
Mammal,Nyctereutes procyonoides,Management,1.44384871
Mammal,Nyctereutes procyonoides,Management,0.763694459
Mammal,Ondatra zibethicus,Damage,36.4917177
Mammal,Ondatra zibethicus,Damage,270.0901
Mammal,Ondatra zibethicus,Damage,270.0901
Mammal,Ondatra zibethicus,Management,12.16363585
Mammal,Ondatra zibethicus,Management,23.37577032
Mammal,Ondatra zibethicus,Management,23.37577032
Mammal,Ondatra zibethicus,Management,20.64835836
Mammal,Ondatra zibethicus,Management,20.64835836
Mammal,Ondatra zibethicus,Damage,10.6673712
Mammal,Ondatra zibethicus,Damage,3.749793114
Mammal,Ondatra zibethicus,Damage,12.79080763
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,255.1659682
Mammal,Oryctolagus cuniculus,Damage,311.5018021
Mammal,Oryctolagus cuniculus,Damage,28.9318975
Mammal,Oryctolagus cuniculus,Damage,25.38871257
Mammal,Oryctolagus cuniculus,Management,7.722309628
Mammal,Oryctolagus cuniculus,Management,7.722309628
Mammal,Oryctolagus cuniculus,Management,6.722734591
Mammal,Oryctolagus cuniculus,Management,6.722734591
Mammal,Oryctolagus cuniculus,Management,6.722734591
Mammal,Oryctolagus cuniculus,Management,6.722734591
Mammal,Oryctolagus cuniculus,Management,10.16288652
Mammal,Oryctolagus cuniculus,Damage,116.903356
Bird,Oxyura jamaicensis,Management,4.849328569
Bird,Oxyura jamaicensis,Management,4.849328569
Bird,Oxyura jamaicensis,Management,4.849328569
Bird,Oxyura jamaicensis,Management,4.849328569
Freshwater,Pacifastacus leniusculus,Damage,0.500444623
Freshwater,Pacifastacus leniusculus,Management,1.045253153
Freshwater,Pacifastacus leniusculus,Management,0.831132686
Freshwater,Pacifastacus leniusculus,Management,0.831132686
Freshwater,Pacifastacus leniusculus,Management,0.831132686
Freshwater,Pacifastacus leniusculus,Management,0.831132686
Freshwater,Pacifastacus leniusculus,Management,1.045253153
Freshwater,Pacifastacus leniusculus,Mixed,3.25789449
Freshwater,Pacifastacus leniusculus,Mixed,2.452462677
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
Mammal,Paguma larvata,Damage,6.580774552
terrinv,Paracoccus marginatus,Management,1031.37402
terrinv,Pectinophora gossypiella,Mixed,117.4115875
Freshwater,Petromyzon marinus,Management,83.55392743
Freshwater,Petromyzon marinus,Damage,1404.479573
Mammal,Phascolarctos cinereus,Management,0.263345102
Mammal,Phascolarctos cinereus,Management,0.263345102
Bird,Phasianus colchicus,Damage,6.366248284
terrinv,Phenacoccus solenopsis,Damage,6787.435531
Fish,Phoxinus phoxinus,Management,0.573741663
terrinv,Phthorimaea operculella,Mixed,144.9373503
Freshwater,Pomacea canaliculata,Damage,3661.633412
Freshwater,Pomacea canaliculata,Mixed,164.7171707
Freshwater,Procambarus clarkii,Damage,1.830380623
Freshwater,Procambarus clarkii,Management,5.531033331
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
Mammal,Procyon lotor,Damage,5.628236365
