Class_code,Species,Type_of_cost_merged,pred_cost_mean,s_Class_code,s_Species,s_Damage,s_manage,s_mixed,s_unspecified,s_pred_cost_mean
terrinv,Spodoptera frugiperda,Damage,23782.30176,,,,,,,
terrinv,Spodoptera frugiperda,Management,27.94275411,,,,,,,
terrinv,Spodoptera frugiperda,Mixed,18.96482874,,,,,,,
terrinv,Stomoxys calcitrans,Damage,12374.60158,,,,,,,
terrinv,Teia anartoides,Management,742.8630142,,,,,,,
terrinv,Thrips palmi,Management,2.68660869,,,,,,,
terrinv,Trogoderma granarium,Management,1.894345953,,,,,,,
terrinv,Varroa jacobsoni,Damage,0.002298147,,,,,,,
terrinv,Vespa velutina,Damage,0.144138764,,,,,,,
terrinv,Vespa velutina,Management,6.643074099,,,,,,,
terrinv,Vespula germanica,Damage,77.67574876,,,,,,,
terrinv,Vespula germanica,Management,0.034405494,,,,,,,
terrinv,Vespula vulgaris,Management,2.1042945,,,,,,,
